"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"Bellevue","WA","Seattle-Tacoma-Bellevue","King County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3695,3500,3575,3697.5,3800,3625,3722.5,3765,3600,3495,3600,4150,3995,3950,3800,3600,3750,3650
"New Haven","CT","New Haven-Milford","New Haven County",40,,,,,,1150,1162.5,1150,1187.5,1200,1190,1112.5,1200,1125,1100,1225,1200,1200,1200,1200,1197.5,1137.5,1150,1150,1150,1150,1200,1162.5,1100,1162.5,1175,1200,1200,1100,1100,1100,1185,1162.5,1150,1200,1112.5,1182.5,1250,1200,1200,1200,1200,1175,1197.5,1200,1200,1200,1300,1275,1250,1312.5,1200,1225,1250,1250,1200,1225,1300,1325,1200,1325,1275,1250,1200,1287.5,1197.5,1260,1225,1275,1450,1500,1500,1372.5,1300,1300,1320,1400,1385,1350,1397.5,1500,1525,1537.5,1550,1600,1550,1550,1450,1350,1350,1400,1300,1300,1400,1400,1400,1450,1500,1550,1537.5,1550
"Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,2295,2325,2350,2350,2395,2395,2400,2425,2472.5,2397.5,2425,2395,2395,2425,2499,2499.5,2472.5,2585,2695,2600,2495,2500,2495,2495,2497.5,2495,2495,2500,2600,2547.5,2550,2550,2525,2500
"Temecula","CA","Riverside-San Bernardino-Ontario","Riverside County",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2675,2600,2600,2595,2672.5,2747.5,2700,2725,2800,2797.5,2695,2600,2695,2772.5,2745,2750,2650,2700,2800,2650,2825,2850,2800,2850,2850,2912.5,2800,2765,2800,2800,2800,2800
"Tracy","CA","Stockton-Lodi","San Joaquin County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2572,2600,2600,2700,2650,2672.5,2700,2725,2675,2600,2600,2772.5,2700,2695,2695,2795,2795,2722.5,2750,2600,2649.5,2600
"Waterbury","CT","New Haven-Milford","New Haven County",44,797.5,800,775,775,762.5,750,725,725,750,800,800,800,800,800,800,800,800,787.5,775,800,775,750,795,795,750,775,795,800,800,800,800,825,800,800,825,800,825,825,825,810,800,825,800,800,825,837.5,837.5,829,825,850,850,825,825,850,862.5,850,825,850,850,850,850,850,825,825,800,812.5,800,825,825,825,837.5,825,825,850,837.5,825,850,850,850,850,850,837.5,825,832.5,850,850,850,850,850,850,850,850,850,850,852.5,875,900,850,850,862.5,850,850,899,900,925,925
"Newton","MA","Boston-Cambridge-Newton","Middlesex County",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4500,4950,4950,5000,5300,5500,5000,5000,5000,4900,4900,4750
"Somerville","MA","Boston-Cambridge-Newton","Middlesex County",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3700,3700,3700,3600,3600,3600,3200,3100,3275,3750,3750,4000,3850,3900,3800,3500,3500,3150,3175,3100,3200,3600,4000,4200,4200,4200,4200,4000,4000,4000,3950,3950,3950,4000,4500,4500,4500,4250,4000,4000,4250,4400
"Homestead","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,2300,2370,2395,2400,2400,2370,2377.5,2499,2475,2300,2249
"Manhattan","KS","Manhattan","Riley County",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1750,1787,1750,1612.5,1600,1600,1450,1400,1287.5,1200,1250
"West Hartford","CT","Hartford-West Hartford-East Hartford","Hartford County",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1425,1400,1450,1700,1572.5,1500,1525,1450,1474.5,1450,1500,1500,1500,1600,1550,1650,1600,1575,1600,1600,1500,1500,1400,1495,1495,1500,1492.5,1600,1700,1650,1700
"Medford","MA","Boston-Cambridge-Newton","Middlesex County",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,4000,4000,4200,4500,4400,4000,4000,4000,3950,3975,4000,4200
"Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4500,4500,4200,4000,4500,4650,4500,4500,4575,4700,4800,4650,4500,4500,4500,4500,4500,4800,4700,4600,4750,4500,4500,4500,4400,4100,4500,4600,4600,4575,4800,4500,4900
"Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",52,,,,,2485,2495,2472.5,2400,2472.5,2500,2500,2497.5,2500,2500,2495,2499,2400,2450,2500,2500,2450,2495,2497,2450,2495,2450,2400,2400,2425,2400,2500,2500,2499,2477.5,2400,2450,2492.5,2500,2495,2495,2500,2500,2500,2500,2500,2450,2500,2500,2500,2500,2597.5,2550,2600,2600,2600,2600,2600,2600,2650,2600,2600,2600,2650,2587.5,2600,2600,2600,2680,2675,2695,2780,2695,2725,2750,2800,2750,2750,2800,2800,2800,2797.5,2795,2750,2797.5,2800,2799,2890,2800,2890,2900,2890,2900,2900,2850,2897.5,2900,2895,2967.5,2997,2950,2950,2900,2900,2925,2900,2950
"Beverly Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29500,28000,29725,29975,29000,27500,26000,24990,25000,25000,25500,25800,25000,26400,27000,26800
