"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"Glendale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",101,1309.94,0.0173,0.0328,0.0579,72642
2019-10-31,"Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",102,1980.67,0.004,0.0097,0.076,133603
2019-10-31,"Fayetteville","NC","Fayetteville","Cumberland County",103,865.21,0.0126,0.0198,-0.0071,89500
2019-10-31,"Boise","ID","Boise City","Ada County",104,1458.01,0.0161,0.0404,0.077,98763
2019-10-31,"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",105,2953.8,0.0045,0.0087,0.0155,101096
2019-10-31,"Laredo","TX","Laredo","Webb County",106,1050.79,-0.0106,-0.0006,-0.0325,48027
2019-10-31,"Sarasota","FL","North Port-Sarasota-Bradenton","Sarasota County",107,1764.43,0.0074,-0.0001,0.0108,128204
2019-10-31,"Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",108,1489.38,0.0107,0.0188,0.0125,91672
2019-10-31,"Fort Myers","FL","Cape Coral-Fort Myers","Lee County",109,1541.21,-0.0018,-0.0076,0.009,134534
2019-10-31,"Garland","TX","Dallas-Fort Worth-Arlington","Dallas County",110,1289.84,0.018,0.0215,0.0251,69891
2019-10-31,"Spring","TX","Houston-The Woodlands-Sugar Land","Harris County",111,1381.37,0.0063,0.0159,0.0144,87755
2019-10-31,"Gilbert","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",112,1517.31,0.0189,0.0378,0.0582,93479
2019-10-31,"North Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",113,1239.98,0.0029,0.0216,0.0289,88740
2019-10-31,"Fremont","CA","San Francisco-Oakland-Hayward","Alameda County",114,3004.31,-0.007,-0.0103,-0.0062,64034
2019-10-31,"Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",115,2534.79,-0.0119,-0.0043,-0.0163,74409
2019-10-31,"Fontana","CA","Riverside-San Bernardino-Ontario","San Bernardino County",116,1930.81,0.0055,0.0146,0.0294,55014
2019-10-31,"Irving","TX","Dallas-Fort Worth-Arlington","Dallas County",117,1475.4,0.0053,0.0047,-0.0005,57547
2019-10-31,"Arlington","VA","Washington-Arlington-Alexandria","Arlington County",118,2270.87,-0.0015,0.0021,0.009,85251
2019-10-31,"Springfield","MO","Springfield","Greene County",119,757.16,0.03,0.0462,0.0142,78135
2019-10-31,"Birmingham","AL","Birmingham-Hoover","Jefferson County",120,874.61,0.0036,0.0057,0.0107,77055
2019-10-31,"Greenville","SC","Greenville-Anderson-Mauldin","Greenville County",121,1172.07,0.016,0.0216,0.0323,65030
2019-10-31,"Santa Rosa","CA","Santa Rosa","Sonoma County",122,2592.53,0.0005,0.0085,-0.0309,59946
2019-10-31,"Oxnard","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",123,2539.33,0.0102,0.0232,0.0312,45831
2019-10-31,"Richmond","VA","Richmond","Richmond City",124,1255.08,0.0068,0.0168,0.0104,70510
2019-10-31,"Des Moines","IA","Des Moines-West Des Moines","Polk County",125,1122.14,0.0057,0.0059,-0.0159,71230
2019-10-31,"Ocala","FL","Ocala","Marion County",126,1134.83,0.0022,0.0218,0.0402,94091
2019-10-31,"Boca Raton","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",127,2320.46,0.0211,0.0288,0.0319,122911
2019-10-31,"Shreveport","LA","Shreveport-Bossier City","Caddo Parish",128,853.37,-0.0075,-0.0129,-0.0663,6098
2019-10-31,"Woodbridge","VA","Washington-Arlington-Alexandria","Prince William County",129,1867.86,0.0026,0.0102,0.0025,71578
2019-10-31,"Rochester","NY","Rochester","Monroe County",130,1085.27,0.0121,0.0267,0.0132,58321
2019-10-31,"Montgomery","AL","Montgomery","Montgomery County",131,829.63,0.0171,0.0213,0.0036,74705
